ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00
1740527999817266925,1740527999817089619,1,1,25386,M,A,0,-10500000000,205,130,11951,126021992,-11000000000,-10500000000,987,401,8,5
1740527999817276771,1740527999817100179,1,1,42868,M,A,0,-19000000000,47962,130,12231,126021993,-19500000000,-19000000000,88031,97505,41,52
1740527999817288367,1740527999817115211,1,1,46275,M,B,0,-20000000000,222,130,11786,126021994,-20000000000,-19000000000,434,410,7,7
1740527999817298174,1740527999817130285,1,1,42315,M,B,0,-39000000000,14117,130,11650,126021995,-39000000000,-38500000000,27562,32133,18,23
1740527999817310891,1740527999817135793,1,1,42315,M,A,0,-38500000000,18509,130,15173,126021996,-39000000000,-38500000000,27562,36137,18,23
1740527999817320106,1740527999817147947,1,1,46039,A,B,0,-42000000000,33,130,11732,126021997,-42000000000,-41000000000,143,258,8,8
1740527999817330950,1740527999817149425,1,1,46039,M,A,0,-41000000000,53,130,11504,126021998,-42000000000,-41000000000,143,263,8,8
1740527999817344666,1740527999817246765,1,1,50174,M,B,0,7500000000,3000,130,11540,126021999,7500000000,8000000000,13938,16497,12,29
1740527999817601694,1740527999817500655,1,1,43662,M,A,0,1500000000,7274,130,15136,126022000,1000000000,1500000000,93628,25551,55,53
1740527999817610971,1740527999817509621,1,1,50174,M,A,0,8000000000,5846,130,12100,126022001,7500000000,8000000000,13938,16842,12,29
1740527999819064756,1740527999818955761,1,1,42315,C,B,0,-39000000000,2981,130,15612,126022002,-39000000000,-38500000000,24581,36137,17,23
1740527999819181033,1740527999819077965,1,1,42315,M,B,0,-39000000000,10987,130,14916,126022003,-39000000000,-38500000000,21451,36137,17,23
1740527999819190019,1740527999819082977,1,1,44118,M,B,0,-32000000000,17651,130,11629,126022004,-32000000000,-31000000000,113479,73858,42,43
1740527999835248394,1740527999835130259,1,1,25386,M,A,0,-10500000000,212,130,16064,126022006,-11000000000,-10500000000,987,431,8,5
1740527999835257833,1740527999835155257,1,1,21246,M,A,0,0,133,130,12442,126022007,-500000000,0,51799,310,65,3
1740527999835283267,1740527999835180581,1,1,25240,M,B,0,-44000000000,45,130,11479,126022008,-44000000000,-43000000000,90,24,4,4
1740527999835300646,1740527999835205635,1,1,21734,M,A,0,-500000000,959,130,11416,126022009,-1000000000,-500000000,46204,17863,29,13
1740527999835328562,1740527999835230843,1,1,45033,M,B,0,-1500000000,79,130,11251,126022010,-1500000000,-1000000000,158,2798,6,8
1740527999835363580,1740527999835256877,1,1,46274,M,A,0,-39500000000,41,130,15009,126022011,-40500000000,-39500000000,6,82,2,6
1740527999835377619,1740527999835281817,1,1,50770,M,A,0,2500000000,83,130,10617,126022012,2000000000,2500000000,2166,183,7,6
1740527999835405795,1740527999835285793,1,1,50095,M,B,0,3500000000,63,130,12104,126022013,3500000000,4000000000,143,27576,3,34
1740527999835417898,1740527999835289535,1,1,41741,M,A,0,4000000000,178,130,11696,126022014,3500000000,4000000000,48304,3860,30,13
1740527999835427797,1740527999835293837,1,1,19002,M,B,0,18000000000,300,130,11587,126022015,18000000000,19000000000,720,368,4,4
1740527999835436721,1740527999835319083,1,1,46294,M,B,0,-5500000000,914,130,11484,126022016,-5500000000,-4500000000,1828,130,5,3
1740527999835558650,1740527999835426559,1,1,254041,M,B,0,96320000000,31,130,19011,126022017,96320000000,96325000000,157,83,21,8
1740527999835705929,1740527999835603175,1,1,22293,M,B,0,-1500000000,4100,130,15111,126022018,-1500000000,-1000000000,8022,2253,27,6
1740527999835742868,1740527999835653301,1,1,44914,M,B,0,-10500000000,319,130,11474,126022019,-10500000000,-9500000000,4236,5789,8,8
1740527999839644493,1740527999839495523,1,1,254052,M,B,0,96330000000,8,130,14682,126022020,96330000000,96335000000,67,2313,4,23
1740527999839918079,1740527999839795491,1,1,254274,M,B,0,96205000000,535,130,16115,126022023,96205000000,96210000000,2304,53,49,2
1740527999839938898,1740527999839839439,1,1,50683,M,B,0,-25000000000,328,130,11651,126022024,-25000000000,-24500000000,1014,251,12,11
1740527999840043325,1740527999839929175,1,1,254274,M,B,0,96205000000,536,130,16043,126022025,96205000000,96210000000,2381,53,49,2
1740527999840053731,1740527999839949545,1,1,50683,M,B,0,-25000000000,264,130,10227,126022026,-25000000000,-24500000000,1144,251,12,11
1740527999840325366,1740527999840212939,1,1,254274,M,B,0,96205000000,785,130,16169,126022027,96205000000,96210000000,2631,53,49,2
1740527999840507572,1740527999840405565,1,1,50748,M,B,0,-3000000000,1257,130,13737,126022028,-3000000000,-2500000000,2210,979,7,8
1740527999840544795,1740527999840449819,1,1,45033,M,A,0,-1000000000,406,130,11404,126022029,-1500000000,-1000000000,158,2872,6,8
1740527999840579975,1740527999840455809,1,1,254052,M,B,0,96330000000,10,130,11555,126022030,96330000000,96335000000,69,2313,4,23
1740527999840614456,1740527999840507033,1,1,42681,M,B,0,2000000000,403,130,11550,126022033,2000000000,2500000000,3618,9008,13,31
1740527999840667315,1740527999840573135,1,1,50748,M,A,0,-2500000000,342,130,11491,126022034,-3000000000,-2500000000,2210,1062,7,8
1740527999840938021,1740527999840841099,1,1,42681,M,B,0,2000000000,1266,130,14562,126022035,2000000000,2500000000,3787,9008,13,31
1740527999841078550,1740527999840959403,1,1,254052,M,B,0,96330000000,12,130,14940,126022036,96330000000,96335000000,71,2313,4,23
1740527999841165076,1740527999841064693,1,1,42310061,M,B,0,16500000000,20,130,11622,126022039,16500000000,17500000000,21,39,2,2
1740527999841181487,1740527999841070835,1,1,125678,M,B,0,18500000000,43,130,15110,126022040,18500000000,19000000000,44,30,2,2
1740527999841189704,1740527999841071143,1,1,50042,M,B,0,500000000,2656,130,11501,126022041,500000000,1000000000,17785,68,31,2
1740527999841198428,1740527999841081893,1,1,42681,M,A,0,2500000000,733,130,11717,126022042,2000000000,2500000000,3787,9143,13,31
1740527999841529119,1740527999841430899,1,1,50042,M,B,0,500000000,5897,130,15001,126022043,500000000,1000000000,18296,68,31,2
1740527999845401646,1740527999845294389,1,1,46051,M,B,0,-7500000000,1854,130,15601,126022044,-7500000000,-6500000000,15241,13490,8,8
1740527999849651925,1740527999849545859,1,1,42687,M,A,0,4000000000,4383,130,15342,126022045,3500000000,4000000000,155,35321,4,30
1740527999849832365,1740527999849725411,1,1,42687,A,B,0,3500000000,36,130,15601,126022046,3500000000,4000000000,191,35321,5,30
1740527999850898730,1740527999850791965,1,1,50734,M,A,0,-11000000000,1249,130,15020,126022047,-12000000000,-11000000000,14011,3587,14,13
1740527999851008410,1740527999850909271,1,1,50734,M,A,0,-11000000000,852,130,14712,126022048,-12000000000,-11000000000,14011,3691,14,13
1740527999851261046,1740527999851147361,1,1,254274,M,B,0,96205000000,459,130,15874,126022049,96205000000,96210000000,2554,53,49,2
1740527999856882870,1740527999856771055,1,1,41591,M,A,0,2500000000,944,130,15370,126022051,2000000000,2500000000,32376,48009,27,38
1740527999858792109,1740527999858684427,1,1,42315,M,A,0,-38500000000,4227,130,15787,126022052,-39000000000,-38500000000,21451,36551,17,23
1740527999864700442,1740527999864179583,1,1,254276,A,B,0,96280000000,3,130,14963,126022053,96280000000,96285000000,1517,1881,37,23
1740527999864917798,1740527999864800927,1,1,254276,M,B,0,96280000000,152,130,15996,126022054,96280000000,96285000000,1554,1881,37,23
1740527999865071336,1740527999864969841,1,1,42435,M,A,0,-12000000000,2476,130,14398,126022055,-12500000000,-12000000000,28485,7203,15,21
1740527999865106570,1740527999865009315,1,1,48722,M,B,0,6000000000,4651,130,11960,126022056,6000000000,6500000000,28134,10531,21,19
1740527999865182697,1740527999865082349,1,1,42435,M,A,0,-12000000000,1710,130,14984,126022057,-12500000000,-12000000000,28485,7411,15,21
1740527999865192604,1740527999865088587,1,1,343620,M,A,0,9000000000,4702,130,11354,126022058,8500000000,9000000000,31078,14331,18,25
1740527999865204508,1740527999865114851,1,1,44042,M,A,0,-38000000000,4785,130,11687,126022059,-38500000000,-38000000000,30009,17530,18,28
1740527999865224551,1740527999865123549,1,1,21746,M,A,0,-9500000000,3157,130,12005,126022060,-10000000000,-9500000000,4243,9012,11,16
1740527999865241101,1740527999865148011,1,1,50037,M,B,0,-4500000000,5294,130,11654,126022061,-4500000000,-4000000000,19003,176,39,4
1740527999865328134,1740527999865216839,1,1,161949,M,B,0,-1000000000,10198,130,15027,126022062,-1000000000,0,11608,7515,25,13
1740527999865397542,1740527999865304099,1,1,50161,M,A,0,7000000000,5892,130,11492,126022063,6500000000,7000000000,18057,17020,12,33
1740527999865451644,1740527999865337409,1,1,23216,M,A,0,500000000,9187,130,15525,126022064,0,500000000,9748,17304,83,44
1740527999865497069,1740527999865404069,1,1,25406,M,A,0,-3500000000,3614,130,11760,126022065,-4000000000,-3500000000,36077,11932,52,28
1740527999865508581,1740527999865411979,1,1,164812,M,B,0,4000000000,7278,130,11736,126022066,4000000000,4500000000,20167,24243,19,29
1740527999865528126,1740527999865437475,1,1,49727,M,A,0,-42000000000,3257,130,12073,126022067,-43000000000,-42000000000,14303,8992,47,32
1740527999865607141,1740527999865500007,1,1,43060,M,A,0,-1000000000,11343,130,15708,126022068,-1500000000,-1000000000,45208,36943,53,51
1740527999865648403,1740527999865552153,1,1,48726,M,B,0,6500000000,1447,130,11644,126022069,6500000000,7000000000,4225,31971,12,31
1740527999865658364,1740527999865557797,1,1,117721,M,A,0,9000000000,437,130,11609,126022070,8500000000,9000000000,26258,1408,36,10
1740527999865680704,1740527999865588401,1,1,48574,M,B,0,4000000000,4747,130,11505,126022071,4000000000,4500000000,13675,20633,41,16
1740527999865711460,1740527999865611229,1,1,42676,M,A,0,0,5927,130,13885,126022072,-500000000,0,11252,17591,17,23
1740527999865760310,1740527999865648111,1,1,42687,M,B,0,3500000000,50,130,11967,126022073,3500000000,4000000000,212,35321,5,30
1740527999870716966,1740527999870606515,1,1,50042,M,B,0,500000000,2271,130,15357,126022074,500000000,1000000000,18554,68,31,2
1740527999870939989,1740527999870836827,1,1,41591,M,B,0,2000000000,1181,130,15511,126022075,2000000000,2500000000,32576,48009,27,38
1740527999870948506,1740527999870846599,1,1,50149,M,B,0,5000000000,1200,130,11657,126022076,5000000000,5500000000,26937,72338,25,26
1740527999874028353,1740527999873897409,1,1,254042,M,B,0,96275000000,180,130,16832,126022077,96275000000,96280000000,710,11,36,1
1740527999885091822,1740527999884982027,1,1,41591,M,B,0,2000000000,3802,130,15816,126022078,2000000000,2500000000,33222,48009,27,38
1740527999885100906,1740527999884995659,1,1,164812,M,B,0,4000000000,2613,130,11917,126022079,4000000000,4500000000,20410,24243,19,29
1740527999886700789,1740527999886585217,1,1,254277,M,B,0,96315000000,671,130,15403,126022080,96315000000,96320000000,4777,28,37,3
1740527999894865118,1740527999894758373,1,1,48722,M,B,0,6000000000,3702,130,15093,126022081,6000000000,6500000000,28602,10531,21,19
1740527999895413571,1740527999895313171,1,1,42681,M,A,0,2500000000,1201,130,14764,126022082,2000000000,2500000000,3787,9475,13,31
1740527999901015059,1740527999900907529,1,1,49727,M,A,0,-42000000000,1208,130,15092,126022083,-43000000000,-42000000000,14303,9324,47,32
1740527999901121399,1740527999901025739,1,1,49727,M,A,0,-42000000000,2205,130,14667,126022084,-43000000000,-42000000000,14303,9555,47,32
1740527999902445660,1740527999902340365,1,1,42435,M,A,0,-12000000000,951,130,15245,126022085,-12500000000,-12000000000,28485,7699,15,21
1740527999904376126,1740527999904259595,1,1,254270,M,B,0,95890000000,1162,130,15543,126022086,95890000000,95895000000,6817,404,43,6
1740527999904942150,1740527999904840523,1,1,48574,M,B,0,4000000000,1806,130,14915,126022087,4000000000,4500000000,14105,20633,41,16
1740527999910091932,1740527999909978881,1,1,343620,M,A,0,9000000000,1782,130,13694,126022090,8500000000,9000000000,31078,14870,18,25
1740527999911124132,1740527999911016751,1,1,44042,M,A,0,-38000000000,2311,130,15564,126022091,-38500000000,-38000000000,30009,18296,18,28
1740527999931590985,1740527999931477047,1,1,254273,M,B,0,96080000000,586,130,15535,126022092,96080000000,96085000000,3782,130,42,3
1740527999931721393,1740527999931604221,1,1,29427,M,A,0,96152500000,1,130,15523,126022093,96112500000,96125000000,5,5,1,1
1740527999939039094,1740527999938929867,1,1,41591,M,B,0,2000000000,4337,130,15597,126022094,2000000000,2500000000,33757,48009,27,38
1740527999942839624,1740527999942717657,1,1,29427,M,A,0,96122500000,1,130,15333,126022095,96112500000,96122500000,5,1,1,1
1740527999951600981,1740527999951478001,1,1,254274,M,B,0,96205000000,435,130,16611,126022096,96205000000,96210000000,2607,53,49,2
1740527999964386237,1740527999964229473,1,1,254043,M,B,0,96295000000,6,130,15087,126022100,96295000000,96300000000,49,2754,6,32
1740527999964717166,1740527999964618045,1,1,42687,M,A,0,4000000000,11893,130,14808,126022103,3500000000,4000000000,212,35558,5,30
1740527999966486729,1740527999966362735,1,1,254276,M,B,0,96280000000,213,130,16471,126022104,96280000000,96285000000,1615,1881,37,23
1740527999967583382,1740527999967473159,1,1,343620,A,B,0,8500000000,50,130,14869,126022105,8500000000,9000000000,31128,14870,19,25
1740527999967750882,1740527999967649367,1,1,343620,M,A,0,9000000000,5267,130,14857,126022106,8500000000,9000000000,31128,15435,19,25
